year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,109,43,5,86,23,26,17,5,0,157
1,164,52,6,128,36,29,23,6,0,222
2,247,70,6,188,59,40,30,6,0,323
3,374,85,7,288,86,46,39,7,0,466
4,593,111,10,459,134,62,49,10,0,714
5,926,156,13,715,211,87,69,13,0,1095
6,1455,169,18,1121,334,91,78,18,0,1642
7,2313,218,25,1777,536,113,105,25,0,2556
8,3698,289,31,2828,870,152,137,31,0,4018
9,5867,377,36,4478,1389,189,188,36,0,6280
10,9382,510,47,7146,2236,267,243,47,0,9939
11,14830,675,61,11298,3532,350,325,61,0,15566
12,23639,870,72,18024,5615,452,418,72,0,24581
13,37622,1152,90,28681,8941,595,557,90,0,38864
14,59635,1502,107,45511,14124,771,731,107,0,61244
15,95112,1966,130,72673,22439,984,982,130,0,97208
16,151479,2570,153,115808,35671,1308,1262,153,0,154202
17,241519,3369,183,184522,56997,1715,1654,183,0,245071
18,385084,4382,225,294258,90826,2215,2167,225,0,389691
19,614118,5696,279,469361,144757,2875,2821,279,0,620093
20,979697,7419,341,749210,230487,3734,3685,341,0,987457
21,1563015,9747,421,1196043,366972,4896,4851,421,0,1573183
22,2493599,12835,511,1908076,585523,6437,6398,511,0,2506945
23,3978879,16807,623,3045536,933343,8402,8405,623,0,3996309
24,6348948,21956,774,4860626,1488322,11004,10952,774,0,6371678
25,10132451,28902,942,7760023,2372428,14481,14421,942,0,10162295
