year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,101,47,4,81,20,32,15,3,1,152
1,152,69,6,123,29,47,22,4,2,227
2,227,95,9,187,40,63,32,7,2,331
3,336,125,11,278,58,84,41,9,2,472
4,515,177,13,423,92,120,57,10,3,705
5,790,238,16,651,139,165,73,13,3,1044
6,1239,286,21,1012,227,192,94,16,5,1546
7,1947,365,26,1594,353,252,113,23,3,2338
8,3067,475,28,2508,559,322,153,24,4,3570
9,4802,613,32,3920,882,417,196,28,4,5447
10,7598,832,36,6222,1376,561,271,33,3,8466
11,11974,1104,46,9784,2190,743,361,42,4,13124
12,19007,1454,58,15546,3461,964,490,52,6,20519
13,30157,1920,67,24668,5489,1274,646,60,7,32144
14,47979,2515,80,39243,8736,1655,860,72,8,50574
15,76341,3357,103,62443,13898,2209,1148,92,11,79801
16,121450,4405,126,99356,22094,2881,1524,115,11,125981
17,193648,5729,145,158441,35207,3699,2030,131,14,199522
18,308742,7499,178,252611,56131,4854,2645,160,18,316419
19,492041,9801,212,402556,89485,6362,3439,195,17,502054
20,784176,12872,263,641775,142401,8370,4502,240,23,797311
21,1249668,16937,320,1023084,226584,11014,5923,290,30,1266925
22,1993036,22179,377,1631611,361425,14368,7811,337,40,2015592
23,3178005,29020,460,2602197,575808,18840,10180,409,51,3207485
24,5068814,38043,567,4150921,917893,24727,13316,503,64,5107424
25,8086502,50010,696,6623458,1463044,32507,17503,614,82,8137208
