year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,100,46,5,62,38,27,19,2,3,151
1,144,61,5,87,57,35,26,2,3,210
2,225,85,8,135,90,46,39,3,5,318
3,337,116,11,209,128,62,54,3,8,464
4,509,154,15,311,198,80,74,5,10,678
5,808,211,19,498,310,115,96,6,13,1038
6,1227,246,25,760,467,136,110,8,17,1498
7,1912,314,30,1201,711,170,144,9,21,2256
8,2999,430,36,1878,1121,235,195,9,27,3465
9,4779,570,41,3006,1773,307,263,11,30,5390
10,7517,748,54,4739,2778,403,345,14,40,8319
11,11843,992,65,7485,4358,529,463,19,46,12900
12,18798,1309,74,11908,6890,706,603,21,53,20181
13,29962,1709,86,18993,10969,916,793,26,60,31757
14,47469,2264,105,30119,17350,1209,1055,34,71,49838
15,75245,2931,123,47890,27355,1558,1373,40,83,78299
16,119765,3889,143,76290,43475,2071,1818,45,98,123797
17,190692,5087,172,121661,69031,2710,2377,57,115,195951
18,303464,6721,214,193877,109587,3596,3125,72,142,310399
19,483685,8802,256,309390,174295,4689,4113,89,167,492743
20,770882,11548,312,493443,277439,6139,5409,116,196,782742
21,1228856,15131,387,787211,441645,8061,7070,148,239,1244374
22,1959639,20016,480,1255950,703689,10670,9346,183,297,1980135
23,3124374,26275,590,2003905,1120469,14029,12246,228,362,3151239
24,4981494,34589,684,3197872,1783622,18432,16157,280,404,5016767
25,7943619,45478,838,5102680,2840939,24180,21298,360,478,7989935
