year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,105,43,5,73,32,33,10,4,1,153
1,161,54,6,112,49,41,13,5,1,221
2,242,75,8,172,70,58,17,7,1,325
3,367,97,9,259,108,78,19,8,1,473
4,558,135,10,393,165,105,30,9,1,703
5,873,194,14,607,266,150,44,13,1,1081
6,1387,260,17,958,429,198,62,16,1,1664
7,2178,354,22,1501,677,262,92,21,1,2554
8,3454,468,27,2384,1070,332,136,25,2,3949
9,5487,596,31,3800,1687,409,187,30,1,6114
10,8671,806,39,6019,2652,542,264,38,1,9516
11,13629,1059,44,9454,4175,723,336,43,1,14732
12,21655,1398,51,15043,6612,949,449,50,1,23104
13,34430,1828,63,23933,10497,1232,596,62,1,36321
14,54575,2411,77,37970,16605,1640,771,75,2,57063
15,86618,3141,98,60359,26259,2139,1002,95,3,89857
16,137894,4139,113,96165,41729,2836,1303,109,4,142146
17,219757,5391,145,153395,66362,3710,1681,141,4,225293
18,349783,6998,179,244166,105617,4819,2179,176,3,356960
19,557236,9220,223,389350,167886,6365,2855,219,4,566679
20,888574,12090,264,621500,267074,8342,3748,258,6,900928
21,1415995,15857,336,990960,425035,10962,4895,328,8,1432188
22,2257581,20725,423,1580987,676594,14290,6435,412,11,2278729
23,3598747,27262,523,2521953,1076794,18797,8465,508,15,3626532
24,5740027,35769,635,4024941,1715086,24645,11124,620,15,5776431
25,9155851,47087,787,6424480,2731371,32441,14646,768,19,9203725
