year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,96,49,5,65,31,30,19,3,2,150
1,141,68,6,92,49,41,27,4,2,215
2,217,90,9,143,74,53,37,6,3,316
3,351,125,10,231,120,75,50,6,4,486
4,544,190,13,358,186,110,80,7,6,747
5,854,261,13,567,287,145,116,7,6,1128
6,1355,327,16,905,450,181,146,8,8,1698
7,2135,442,19,1426,709,240,202,11,8,2596
8,3343,583,24,2233,1110,312,271,14,10,3950
9,5312,758,27,3557,1755,416,342,13,14,6097
10,8382,998,32,5637,2745,540,458,13,19,9412
11,13253,1309,36,8934,4319,688,621,15,21,14598
12,20951,1737,49,14132,6819,921,816,20,29,22737
13,33200,2279,58,22378,10822,1216,1063,26,32,35537
14,52499,2940,74,35347,17152,1564,1376,33,41,55513
15,83384,3825,95,56218,27166,2053,1772,41,54,87304
16,132421,5043,112,89427,42994,2689,2354,49,63,137576
17,210504,6607,126,142334,68170,3517,3090,56,70,217237
18,334906,8638,154,226711,108195,4637,4001,68,86,343698
19,533177,11451,189,361396,171781,6133,5318,84,105,544817
20,849457,15021,232,576452,273005,8028,6993,108,124,864710
21,1353521,19686,288,919006,434515,10561,9125,136,152,1373495
22,2157467,25929,335,1465949,691518,13836,12093,152,183,2183731
23,3439707,34181,398,2338599,1101108,18159,16022,177,221,3474286
24,5484466,45001,468,3731201,1753265,23879,21122,212,256,5529935
25,8747608,59349,562,5955055,2792553,31323,28026,266,296,8807519
